,,Name,%,Price,Rating,Release,Ends,Started
,,"Dungeon Escape
Week Long Deal
all-time low: R$ 0,76 at -93%",-83%,"R$ 2,34",75.83%,May 2016,,
,,"Incubus
new historical low",-60%,"R$ 14,31",75.77%,Jul 2023,,
,,"DreadOut: Keepers of The Dark
all-time low: R$ 1,39 at -90%",-80%,"R$ 2,79",75.75%,Mar 2016,,
,,"Despotism 3k
all-time low: R$ 0,00 at -100%",-60%,"R$ 6,63",75.74%,Nov 2018,,
,,"Симулятор Прыгания по Гаражам
all-time low: R$ 0,80 at -65%",-50%,"R$ 1,74",75.70%,Dec 2022,,
,,Livelock,-85%,"R$ 3,10",75.65%,Aug 2016,,
,,"Jalopy
current 2-year low",-75%,"R$ 7,24",75.49%,Mar 2018,,
,,"Nyasha
all-time low: R$ 0,85 at -81%",-50%,"R$ 1,74",75.38%,Mar 2019,,
,,"Drake Hollow
all-time low: R$ 23,19 at -60%",-70%,"R$ 29,99",75.34%,Oct 2020,,
,,"She Sees Red - Interactive Movie
Week Long Deal",-70%,"R$ 5,03",75.20%,Jul 2019,,
,,"Lumencraft
all-time low: R$ 16,67 at -33%",-55%,"R$ 26,99",75.19%,Feb 2023,,
,,"Far Cry® New Dawn
all-time low: R$ 23,99 at -80%",-85%,"R$ 44,99",75.08%,Feb 2019,,
,,"SKYHILL
all-time low: R$ 2,66 at -90%",-51%,"R$ 22,94",75.07%,Oct 2015,—,
,,"СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ
all-time low: R$ 0,89 at -80%",-70%,"R$ 2,09",74.99%,Apr 2021,,
,,"Not The Robots
2-year low: R$ 4,99",-75%,"R$ 8,24",74.96%,Dec 2013,,
,,"Galactic Civilizations III
2-year low: R$ 24,15",-66%,"R$ 36,71",74.93%,May 2015,,
,,"Giana Sisters: Twisted Dreams
Week Long Deal
all-time low: R$ 2,79 at -90%",-80%,"R$ 6,59",74.87%,Oct 2012,,
,,"City of Brass
all-time low: R$ 3,79 at -90%",-90%,"R$ 5,99",74.84%,May 2018,,
,,"OlliOlli
all-time low: R$ 5,19 at -80%",-80%,"R$ 8,39",74.83%,Jul 2014,,
,,"Cartel Tycoon
all-time low: R$ 33,24 at -30%",-73%,"R$ 34,44",74.83%,Jul 2022,,
,,"Moons of Madness
Week Long Deal
all-time low: R$ 14,99 at -70%",-60%,"R$ 29,59",74.83%,Oct 2019,,
,,"Black The Fall
all-time low: R$ 8,39 at -70%",-70%,"R$ 19,47",74.81%,Jul 2017,,
,,"Age of Gladiators
Week Long Deal
all-time low: R$ 1,99 at -90%",-80%,"R$ 3,99",74.80%,Feb 2016,,
,,"David.
Week Long Deal
all-time low: R$ 1,15 at -73%",-70%,"R$ 2,09",74.78%,Mar 2014,,
,,"STORM AREA 51: AYY LMAO EDITION
all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",74.77%,Sep 2019,,
,,"8Doors: Arum's Afterlife Adventure
all-time low: R$ 7,59 at -80%",-80%,"R$ 11,99",74.76%,Apr 2021,,
,,Fictorum,-75%,"R$ 5,17",74.75%,Aug 2017,,
,,"Dead In Vinland
Week Long Deal
2-year low: R$ 11,49",-80%,"R$ 11,99",74.74%,Apr 2018,,
,,"Tomb Raider: Underworld
all-time low: R$ 1,86 at -89%",-89%,"R$ 4,12",74.70%,Nov 2008,,
,,"Happy Guy
Week Long Deal
all-time low: R$ 2,92 at -55%",-60%,"R$ 4,19",74.67%,Sep 2021,,
,,"Acceleration of SUGURI 2
2-year low: R$ 9,29",-50%,"R$ 14,99",74.63%,Mar 2018,,
,,"Love Rhythm
Week Long Deal
all-time low: R$ 1,12 at -75%",-50%,"R$ 5,24",74.62%,Nov 2019,,
,,"Reigns: Game of Thrones
2-year low: R$ 4,34",-67%,"R$ 4,55",74.57%,Oct 2018,,
,,"Mana Spark
all-time low: R$ 4,97 at -80%",-67%,"R$ 8,21",74.57%,Sep 2018,,
,,"DreadOut
current 2-year low",-80%,"R$ 5,59",74.49%,May 2014,,
,,Arboria,-90%,"R$ 3,79",74.46%,Sep 2021,,
,,"One Dog Story
Week Long Deal",-90%,"R$ 2,48",74.45%,Apr 2017,,
,,"Space Colony: Steam Edition
Week Long Deal
current 2-year low",-75%,"R$ 6,99",74.45%,Apr 2015,,
,,"Nickelodeon Kart Racers 2: Grand Prix
Week Long Deal
new historical low",-85%,"R$ 5,69",74.39%,Dec 2020,,
,,"Darkest Dungeon® II
all-time low: R$ 59,80 at -67%",-51%,"R$ 89,31",74.35%,May 2023,—,
,,Metaverse Keeper / 元能失控,-75%,"R$ 7,24",74.33%,Apr 2019,,
,,"The Flame in the Flood
all-time low: R$ 4,19 at -85%",-85%,"R$ 7,49",74.22%,Feb 2016,,
,,"Arthas - The Game
Week Long Deal
all-time low: R$ 2,54 at -85%",-80%,"R$ 3,39",74.19%,Feb 2023,,
,,"Cockwork Industries Complete
all-time low: R$ 4,99 at -75%",-60%,"R$ 7,99",74.18%,Nov 2019,,
,,"Mind Scanners
Week Long Deal",-65%,"R$ 11,54",74.17%,May 2021,,
,,"Exit the Gungeon
all-time low: R$ 12,41 at -40%",-60%,"R$ 13,19",74.16%,Mar 2020,,
,,"Lifeless Planet Premier Edition
all-time low: R$ 7,39 at -80%",-60%,"R$ 25,59",74.13%,Jun 2014,,
,,"Mind Spheres
all-time low: R$ 0,66 at -71%",-90%,"R$ 1,74",74.07%,Jul 2016,,
,,"Black Desert
all-time low: R$ 0,00 at -100%",-70%,"R$ 5,23",74.07%,May 2017,,
,,Blade Assault,-80%,"R$ 6,99",74.00%,Jan 2022,,
,,"Assassin's Creed Freedom Cry
2-year low: R$ 11,24",-60%,"R$ 17,99",73.98%,Feb 2014,,
,,"Battlestations: Midway
all-time low: R$ 1,81 at -86%",-86%,"R$ 3,06",73.90%,Jan 2007,,
,,Sparklite,-85%,"R$ 7,12",73.87%,Nov 2019,,
,,"Miasmata
Week Long Deal
current 2-year low",-80%,"R$ 4,99",73.81%,Nov 2012,,
,,"Pathway
all-time low: R$ 12,39 at -60%",-60%,"R$ 19,99",73.78%,Apr 2019,,
,,"Dead Age 2: The Zombie Survival RPG
all-time low: R$ 6,99 at -80%",-80%,"R$ 10,99",73.77%,Mar 2021,,
,,"Sacred 2 Gold
Week Long Deal
current 2-year low",-75%,"R$ 6,99",73.60%,Dec 2012,,
,,"Deadly 30
all-time low: R$ 0,84 at -90%",-86%,"R$ 2,37",73.57%,Jan 2014,,
,,"Bridge Constructor
all-time low: R$ 1,69 at -90%",-90%,"R$ 3,29",73.53%,Oct 2013,,
,,"Tumblestone
all-time low: R$ 4,59 at -90%",-81%,"R$ 8,73",73.53%,Jul 2016,,
,,"The Witcher Adventure Game
all-time low: R$ 2,99 at -85%",-85%,"R$ 4,49",73.49%,Nov 2014,,
,,"KumaKuma Manga Editor
all-time low: R$ 2,47 at -80%",-80%,"R$ 4,09",73.46%,Feb 2019,,
,,"Okhlos: Omega
all-time low: R$ 5,19 at -80%",-80%,"R$ 8,39",73.46%,Aug 2016,,
,,"2Dark
Week Long Deal",-90%,"R$ 7,90",73.39%,Mar 2017,,
,,Evil West,-65%,"R$ 62,96",73.36%,Nov 2022,,
,,"One More Dungeon
all-time low: R$ 2,09 at -80%",-70%,"R$ 4,49",73.20%,Nov 2015,,
,,"Thief
all-time low: R$ 8,39 at -85%",-85%,"R$ 12,52",73.10%,Feb 2014,,
,,The Settlers® : Rise of an Empire - History Edition,-60%,"R$ 14,39",73.06%,Jan 2019,,
,,"Trainz Railroad Simulator 2019
2-year low: R$ 11,32",-83%,"R$ 45,60",73.03%,Jan 2019,—,
,,"Overture
all-time low: R$ 1,04 at -90%",-80%,"R$ 2,17",73.00%,Jan 2015,,
,,"The Wizards - Enhanced Edition
Week Long Deal
2-year low: R$ 14,24",-66%,"R$ 16,14",72.96%,Mar 2018,,
,,"Shanhe
new historical low",-60%,"R$ 5,79",72.87%,Jul 2023,,
,,"Poop Clicker
all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",72.85%,Mar 2022,,
,,"Out There: Ω Edition
2-year low: R$ 4,19",-80%,"R$ 5,59",72.81%,Apr 2015,,
,,"Dungeon Siege II
all-time low: R$ 1,81 at -86%",-86%,"R$ 3,06",72.61%,Aug 2005,,
,,"DreadOut 2
all-time low: R$ 15,19 at -60%",-50%,"R$ 18,99",72.54%,Feb 2020,,
,,"Dungelot: Shattered Lands
2-year low: R$ 4,99",-75%,"R$ 8,24",72.42%,Feb 2016,,
,,"Z
all-time low: R$ 1,39 at -90%",-87%,"R$ 1,81",72.40%,Jul 2014,,
,,"恶魔迷宫 | Evil Maze
Week Long Deal
2-year low: R$ 2,14",-50%,"R$ 3,49",72.39%,Jun 2016,,
,,"Volume
Week Long Deal",-80%,"R$ 7,39",72.29%,Aug 2015,,
,,"Dysfunctional Systems: Learning to Manage Chaos
current 2-year low",-50%,"R$ 5,24",72.25%,Apr 2013,,
,,Asterix & Obelix XXL: Romastered,-85%,"R$ 7,94",72.16%,Oct 2020,,
,,"Quest of Dungeons
2-year low: R$ 3,39",-70%,"R$ 5,09",72.11%,Mar 2014,,
,,"Project: Snowblind
all-time low: R$ 1,64 at -85%",-85%,"R$ 2,98",72.08%,Feb 2005,,
,,"TAPSONIC BOLD
Week Long Deal",-70%,"R$ 11,39",72.03%,Mar 2019,,
,,"Larva Mortus
2-year low: R$ 2,14",-67%,"R$ 3,46",71.94%,Mar 2009,,
,,"Sea Dogs: To Each His Own
Week Long Deal",-80%,"R$ 5,59",71.86%,Feb 2016,,
,,"The Warlock of Firetop Mountain
Week Long Deal
all-time low: R$ 7,39 at -80%",-70%,"R$ 11,09",71.81%,Aug 2016,,
,,"Ash of Gods: Redemption
Week Long Deal
all-time low: R$ 9,49 at -80%",-80%,"R$ 14,79",71.71%,Mar 2018,,
,,"Bionic Dues
2-year low: R$ 5,17",-75%,"R$ 8,24",71.70%,Oct 2013,,
,,"Pixel Heroes: Byte & Magic
all-time low: R$ 1,99 at -90%",-90%,"R$ 3,29",71.61%,Feb 2015,,
,,"Elmarion: Dragon time
2-year low: R$ 11,39",-50%,"R$ 14,49",71.53%,Mar 2020,,
,,"Hell is Others
all-time low: R$ 6,24 at -75%",-50%,"R$ 12,49",71.53%,Oct 2022,,
,,"Office Battle
all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",71.52%,Dec 2015,,
,,"The Land of Pain
2-year low: R$ 8,71",-75%,"R$ 9,62",71.48%,Sep 2017,,
,,Tunche,-60%,"R$ 15,19",71.45%,Nov 2021,,
,,"Internet Cafe Simulator
Week Long Deal
all-time low: R$ 8,27 at -60%",-65%,"R$ 11,54",71.36%,Oct 2019,,
,,"Block'hood
2-year low: R$ 9,23",-67%,"R$ 15,50",71.04%,May 2017,,
,,Life is Strange: Before the Storm Remastered,-50%,"R$ 99,50",70.99%,Feb 2022,,
,,Victory At Sea,-85%,"R$ 6,89",70.93%,Aug 2014,,
,,"The Search
2-year low: R$ 2,51",-70%,"R$ 4,13",70.93%,Apr 2017,,
,,"The Shore
Week Long Deal
all-time low: R$ 3,73 at -85%",-80%,"R$ 4,97",70.88%,Feb 2021,,
,,As Far As The Eye,-75%,"R$ 11,87",70.81%,Sep 2020,,
,,"Absolver
all-time low: R$ 11,19 at -80%",-80%,"R$ 17,79",70.76%,Aug 2017,,
,,Run Build Pew!,-50%,"R$ 5,24",70.59%,Jun 2022,,
,,God's Trigger,-80%,"R$ 5,79",70.50%,Apr 2019,,
,,"Anachronox
all-time low: R$ 1,81 at -86%",-86%,"R$ 3,06",70.44%,Jun 2001,,
,,"Stronghold Crusader 2
Week Long Deal",-90%,"R$ 7,54",70.36%,Sep 2014,,
,,"Chasm
all-time low: R$ 9,49 at -75%",-70%,"R$ 11,39",70.36%,Jul 2018,,
,,"Tomb Raider V: Chronicles
all-time low: R$ 1,81 at -86%",-86%,"R$ 4,05",70.30%,Nov 2012,,
,,"Nickelodeon All-Star Brawl
Week Long Deal",-90%,"R$ 9,39",70.26%,Oct 2021,,
,,Recipe for Disaster,-72%,"R$ 13,15",70.24%,Aug 2022,,
,,"Crowntakers
all-time low: R$ 3,99 at -80%",-70%,"R$ 9,89",70.21%,Nov 2014,,
,,"200% Mixed Juice!
2-year low: R$ 7,24",-50%,"R$ 11,75",70.16%,Oct 2015,,
,,Big Bia,-50%,"R$ 14,49",70.15%,Jun 2022,,
,,"Dead In Bermuda
Week Long Deal",-80%,"R$ 5,59",70.08%,Aug 2015,,
,,"Blaite
all-time low: R$ 1,09 at -50%",-50%,"R$ 1,74",70.01%,Jan 2017,,
,,"StarsOne
Week Long Deal
2-year low: R$ 4,99",-50%,"R$ 16,49",69.99%,Apr 2016,,
,,"EARTHLOCK
Week Long Deal
all-time low: R$ 9,00 at -90%",-85%,"R$ 13,50",69.93%,Mar 2018,,
,,"Collapse
Week Long Deal
2-year low: R$ 3,69",-75%,"R$ 14,99",69.91%,Sep 2008,,
,,"Truberbrook / Trüberbrook
new historical low",-95%,"R$ 4,44",69.86%,Mar 2019,,
,,"Conflict Desert Storm™
all-time low: R$ 1,81 at -86%",-86%,"R$ 3,06",69.40%,Sep 2002,,
,,"Tom Clancy’s The Division™
current 2-year low",-85%,"R$ 13,49",69.33%,Mar 2016,,
,,"Order of War™
all-time low: R$ 2,24 at -85%",-85%,"R$ 3,73",69.32%,Sep 2009,,
,,"Rogue's Tale
2-year low: R$ 10,14",-50%,"R$ 11,75",69.32%,Mar 2014,,
,,Black Future '88,-90%,"R$ 5,99",69.18%,Nov 2019,,
,,"TT Isle of Man: Ride on the Edge
Week Long Deal",-80%,"R$ 9,59",69.13%,Mar 2018,,
,,"Silver Chains
new historical low",-95%,"R$ 3,69",68.93%,Aug 2019,,
,,"Gods Will Be Watching
all-time low: R$ 3,39 at -80%",-80%,"R$ 6,59",68.93%,Jul 2014,,
,,"Mirror Maker
all-time low: R$ 1,79 at -60%",-60%,"R$ 2,79",68.93%,Jan 2019,,
,,"INDUSTRIA
all-time low: R$ 15,19 at -60%",-70%,"R$ 17,99",68.89%,Sep 2021,,
,,There Is No Light: Enhanced Edition,-50%,"R$ 29,99",68.85%,Sep 2022,,
,,"TOKYO GHOUL:re [CALL to EXIST]
Week Long Deal",-90%,"R$ 15,99",68.80%,Nov 2019,,
,,"Rogue Lords
Week Long Deal",-70%,"R$ 14,99",68.79%,Sep 2021,,
,,"Hero Siege
2-year low: R$ 1,49",-80%,"R$ 5,29",68.74%,Jan 2014,,
,,Eternal Edge +,-90%,"R$ 2,89",68.71%,May 2022,,
,,"Immortals Fenyx Rising
all-time low: R$ 24,99 at -90%",-85%,"R$ 28,49",68.65%,Dec 2022,,
,,Trek to Yomi,-60%,"R$ 23,99",68.43%,May 2022,,
,,"The Park®
Week Long Deal
all-time low: R$ 8,99 at -70%",-60%,"R$ 16,79",68.43%,Oct 2015,,
,,Feudal Alloy,-90%,"R$ 3,29",68.42%,Jan 2019,,
,,"Assassin's Creed Valhalla
new historical low",-80%,"R$ 39,99",68.28%,Dec 2022,,
,,"March of the Living
2-year low: R$ 9,85",-50%,"R$ 14,49",68.23%,Apr 2016,,
,,"Warbanners
Week Long Deal
all-time low: R$ 7,59 at -80%",-70%,"R$ 11,39",68.15%,Oct 2017,,
,,Children of Zodiarcs,-70%,"R$ 8,39",67.95%,Jul 2017,,
,,"MX vs ATV Legends
Week Long Deal
all-time low: R$ 30,00 at -60%",-50%,"R$ 37,50",67.95%,Jun 2022,,
,,"Particula
2-year low: R$ 0,67",-90%,"R$ 1,74",67.91%,Feb 2015,,
,,"BELOW
all-time low: R$ 7,12 at -85%",-75%,"R$ 11,87",67.83%,Dec 2018,,
,,"Distant Worlds 2
all-time low: R$ 65,79 at -30%",-50%,"R$ 67,49",67.83%,Mar 2022,,
,,"RONIN
all-time low: R$ 5,19 at -80%",-80%,"R$ 8,39",67.77%,Jun 2015,,
,,"Tinkertown
new historical low",-75%,"R$ 13,12",67.77%,Jun 2023,,
,,"Toilet Simulator 2020
all-time low: R$ 0,80 at -65%",-50%,"R$ 1,74",67.48%,Jan 2019,,
,,Toby: The Secret Mine,-90%,"R$ 1,99",67.44%,Oct 2015,,
,,"Men of War: Condemned Heroes
all-time low: R$ 3,19 at -80%",-85%,"R$ 3,97",67.38%,Apr 2012,,
,,"Killing Room
all-time low: R$ 5,99 at -70%",-60%,"R$ 18,79",67.29%,Oct 2016,,
,,"Nigate Tale
new historical low",-61%,"R$ 14,81",67.16%,Apr 2021,,
,,"3089 -- Futuristic Action RPG
all-time low: R$ 3,49 at -75%",-75%,"R$ 5,87",67.15%,Jan 2014,,
,,Trigon: Space Story,-70%,"R$ 11,39",67.12%,Apr 2022,,
,,"Guns n Zombies
Week Long Deal
all-time low: R$ 1,59 at -90%",-89%,"R$ 2,91",66.97%,Oct 2014,,
,,"Ninja Stealth
all-time low: R$ 0,00 at -100%",-90%,"R$ 1,74",66.94%,Jun 2016,,
,,"STAY
Week Long Deal",-90%,"R$ 2,48",66.91%,May 2018,,
,,"Ludus
Week Long Deal
all-time low: R$ 8,27 at -60%",-65%,"R$ 11,54",66.83%,Feb 2020,,
,,"Rogue Stormers
all-time low: R$ 3,69 at -90%",-80%,"R$ 7,39",66.63%,Sep 2016,,
,,"Sacred Citadel
Week Long Deal
current 2-year low",-75%,"R$ 4,99",66.58%,Apr 2013,,
,,"HUMANKIND™
all-time low: R$ 31,80 at -80%",-75%,"R$ 39,75",66.56%,Aug 2021,,
,,"Conan Unconquered
Week Long Deal
all-time low: R$ 13,94 at -70%",-60%,"R$ 23,99",66.55%,May 2019,,
,,"Lust for Darkness
Week Long Deal",-90%,"R$ 2,79",66.52%,Jun 2018,,
,,"Townsmen - A Kingdom Rebuilt
Week Long Deal
2-year low: R$ 8,24",-80%,"R$ 10,99",66.52%,Feb 2019,,
,,Road 96: Mile 0,-70%,"R$ 19,50",66.49%,Apr 2023,,
,,"Blood Omen 2: Legacy of Kain
all-time low: R$ 1,81 at -86%",-86%,"R$ 4,05",66.23%,Mar 2002,,
,,"Crypto Mining Simulator
Week Long Deal
all-time low: R$ 1,69 at -90%",-70%,"R$ 5,09",66.10%,Apr 2021,,
,,"Trucks & Trailers
2-year low: R$ 2,43",-80%,"R$ 3,21",66.04%,Jun 2011,,
,,"LARA CROFT AND THE TEMPLE OF OSIRIS™
2-year low: R$ 5,54",-85%,"R$ 12,52",66.01%,Dec 2014,,
,,"Shattered Planet
all-time low: R$ 2,79 at -90%",-90%,"R$ 4,69",65.73%,Jul 2014,,
,,OUTRIDERS,-50%,"R$ 45,45",65.58%,Apr 2021,,
,,"We Are The Dwarves
all-time low: R$ 1,87 at -99%",-95%,"R$ 17,26",65.50%,Feb 2016,—,
,,"Zengeon
new historical low",-76%,"R$ 9,11",65.24%,Jun 2019,,
,,"Infectonator: Survivors
all-time low: R$ 1,99 at -90%",-90%,"R$ 3,29",65.17%,Aug 2016,,
,,ENDLESS™ Dungeon,-50%,"R$ 79,95",65.17%,Oct 2023,,
,,"Just Cause
all-time low: R$ 1,81 at -86%",-86%,"R$ 3,06",65.05%,Sep 2006,,
,,"Anima: Gate of Memories
all-time low: R$ 4,31 at -95%",-84%,"R$ 13,29",64.92%,Jun 2016,—,
,,"Pixel Piracy
current 2-year low",-80%,"R$ 9,39",64.66%,Apr 2015,,
,,"Omikron: The Nomad Soul
all-time low: R$ 2,54 at -85%",-86%,"R$ 4,88",64.55%,Nov 1999,,
,,"Survivor Squad
2-year low: R$ 1,13",-80%,"R$ 2,09",64.16%,Nov 2013,,
,,"Might and Magic: Heroes VII – Trial by Fire
current 2-year low",-75%,"R$ 22,49",64.13%,Aug 2016,,
,,"Mysteria ~Occult Shadows~
all-time low: R$ 8,06 at -70%",-80%,"R$ 8,39",64.10%,Sep 2020,,
,,"Stronghold: Warlords
Week Long Deal",-90%,"R$ 7,99",64.03%,Mar 2021,,
,,Cardaclysm,-90%,"R$ 4,69",63.97%,Feb 2021,,
,,"Legacy of Kain: Soul Reaver 2
all-time low: R$ 1,81 at -86%",-86%,"R$ 4,05",63.96%,Nov 2001,,
,,"V-Rally 4
Week Long Deal",-90%,"R$ 6,99",63.81%,Sep 2018,,
,,"Gift Girl
all-time low: R$ 1,79 at -60%",-60%,"R$ 2,79",63.28%,Mar 2020,,
,,"Weird Worlds: Return to Infinite Space
all-time low: R$ 2,09 at -80%",-80%,"R$ 2,17",63.04%,Mar 2013,,
,,"Men of War: Vietnam
all-time low: R$ 3,19 at -80%",-85%,"R$ 3,97",63.03%,Sep 2011,,
,,"Train Fever
all-time low: R$ 3,69 at -90%",-90%,"R$ 5,99",62.97%,Sep 2014,,
,,"Blightbound
all-time low: R$ 18,99 at -50%",-60%,"R$ 23,99",62.93%,Jul 2021,,
,,"Darksburg
all-time low: R$ 5,79 at -80%",-75%,"R$ 7,24",62.90%,Sep 2020,,
,,"Monster Energy Supercross - The Official Videogame 4
Week Long Deal
all-time low: R$ 17,59 at -80%",-85%,"R$ 22,42",62.72%,Mar 2021,,
,,"Project AURA
all-time low: R$ 5,79 at -80%",-75%,"R$ 7,24",62.26%,Apr 2018,,
,,"The Swindle
current 2-year low",-85%,"R$ 4,19",61.84%,Jul 2015,,
,,"The Swords of Ditto: Mormo's Curse
current 2-year low",-80%,"R$ 9,39",61.51%,Apr 2018,,
,,Abyss Odyssey,-80%,"R$ 5,59",61.45%,Jul 2014,,
,,HERO DEFENSE,-95%,"R$ 4,44",61.42%,May 2016,,
,,"Shoppe Keep
current 2-year low",-66%,"R$ 3,70",61.04%,May 2016,,
,,Just Cause 4 Reloaded,-95%,"R$ 14,93",60.95%,Dec 2018,—,
,,"Brewpub Simulator
Week Long Deal
new historical low",-54%,"R$ 34,93",60.77%,Jul 2023,,
,,"Dungeon Hearts
2-year low: R$ 1,64",-67%,"R$ 3,46",60.75%,Mar 2013,,
,,"Depraved
new historical low",-90%,"R$ 3,79",60.62%,Sep 2019,,
,,"Monsti
all-time low: R$ 0,85 at -81%",-50%,"R$ 1,74",60.39%,Sep 2016,,
,,"SWORD ART ONLINE Alicization Lycoris
Week Long Deal
all-time low: R$ 25,58 at -84%",-81%,"R$ 56,98",60.32%,Jul 2020,,
,,Mirror Party,-70%,"R$ 2,09",60.15%,Dec 2021,,
,,"Overcast - Walden and the Werewolf
2-year low: R$ 0,67",-90%,"R$ 1,74",60.11%,Apr 2014,,
